Model_ID,Model_Name,Category,MAE,RMSE,R2,Num_Parameters,Training_Time_s,Description
Basic-Ensemble,Ensemble,基础模型,0.34848577658335367,0.4852153893499631,0.8480111296875951,131092,62.272473096847534,基础Ensemble模型
Basic-GraphSAGE,GraphSAGE,基础模型,0.3521688687006633,0.48309286758573355,0.849337938785851,59777,20.93276023864746,基础GraphSAGE模型
Basic-BasicGCN,BasicGCN,基础模型,0.38482210381825765,0.5042825280021579,0.835831248195587,28225,22.61223077774048,基础BasicGCN模型
Basic-ResidualGCN,ResidualGCN,基础模型,0.4865592966079712,0.6209653069131204,0.7510699493035343,85249,47.08036494255066,基础ResidualGCN模型
Basic-GraphTransformer,GraphTransformer,基础模型,0.6521103925704956,0.8194917067939399,0.5664573984270334,84097,31.99477195739746,基础GraphTransformer模型
Basic-SchNet,SchNet,基础模型,0.7043377447128296,0.8957704777979602,0.4819923853231505,57089,23.051843881607056,基础SchNet模型
Basic-GAT,GAT,基础模型,0.8572492354710897,1.0492918024581082,0.28921997637746955,42881,25.148653030395508,基础GAT模型
