Model,MAE,RMSE,R2,Num_Parameters,Training_Time_s,Best_Val_Loss
Transformer,3.461530923843384,5.164606155195306,0.9807968735694885,234369,16.10270094871521,28.721462588840062
GCN,4.951018333435059,8.640266066092588,0.9562937021255493,93441,8.369972229003906,61.615782736672294
Simple_MLP,6.598989963531494,12.025209649492927,0.8979266881942749,2689,0.262923002243042,165.0837193467882
GAT,6.723232269287109,10.33111519745785,0.9179596900939941,152833,12.921983003616333,153.10150536431206
